#Col 1: dimension K: 6
#Col 2: specified s: 3
#Col 3: min n: 50000
#Col 4: max n50000
#Col 5: pas n1
#Col 7: n of trees100

K,s,n,q0,q1,q2,cost
6,3,50000,0.1,0.1,0.02,78
6,3,50000,0.1,0.1,0.02,27
6,3,50000,0.1,0.1,0.02,195
6,3,50000,0.1,0.1,0.02,104
6,3,50000,0.1,0.1,0.02,170
6,3,50000,0.1,0.1,0.02,266
6,3,50000,0.1,0.1,0.02,129
6,3,50000,0.1,0.1,0.02,296
6,3,50000,0.1,0.1,0.02,105
6,3,50000,0.1,0.1,0.02,124
6,3,50000,0.1,0.1,0.02,205
6,3,50000,0.1,0.1,0.02,23
6,3,50000,0.1,0.1,0.02,113
6,3,50000,0.1,0.1,0.02,191
6,3,50000,0.1,0.1,0.02,284
6,3,50000,0.1,0.1,0.02,346
6,3,50000,0.1,0.1,0.02,191
6,3,50000,0.1,0.1,0.02,370
6,3,50000,0.1,0.1,0.02,248
6,3,50000,0.1,0.1,0.02,50
6,3,50000,0.1,0.1,0.02,277
6,3,50000,0.1,0.1,0.02,162
6,3,50000,0.1,0.1,0.02,133
6,3,50000,0.1,0.1,0.02,43
6,3,50000,0.1,0.1,0.02,158
6,3,50000,0.1,0.1,0.02,121
6,3,50000,0.1,0.1,0.02,267
6,3,50000,0.1,0.1,0.02,156
6,3,50000,0.1,0.1,0.02,197
6,3,50000,0.1,0.1,0.02,240
6,3,50000,0.1,0.1,0.02,179
6,3,50000,0.1,0.1,0.02,257
6,3,50000,0.1,0.1,0.02,68
6,3,50000,0.1,0.1,0.02,208
6,3,50000,0.1,0.1,0.02,131
6,3,50000,0.1,0.1,0.02,159
6,3,50000,0.1,0.1,0.02,172
6,3,50000,0.1,0.1,0.02,213
6,3,50000,0.1,0.1,0.02,80
6,3,50000,0.1,0.1,0.02,350
6,3,50000,0.1,0.1,0.02,122
6,3,50000,0.1,0.1,0.02,81
6,3,50000,0.1,0.1,0.02,181
6,3,50000,0.1,0.1,0.02,201
6,3,50000,0.1,0.1,0.02,155
6,3,50000,0.1,0.1,0.02,330
6,3,50000,0.1,0.1,0.02,138
6,3,50000,0.1,0.1,0.02,152
6,3,50000,0.1,0.1,0.02,228
6,3,50000,0.1,0.1,0.02,150
6,3,50000,0.1,0.1,0.02,355
6,3,50000,0.1,0.1,0.02,73
6,3,50000,0.1,0.1,0.02,135
6,3,50000,0.1,0.1,0.02,154
6,3,50000,0.1,0.1,0.02,189
6,3,50000,0.1,0.1,0.02,310
6,3,50000,0.1,0.1,0.02,231
6,3,50000,0.1,0.1,0.02,95
6,3,50000,0.1,0.1,0.02,124
6,3,50000,0.1,0.1,0.02,163
6,3,50000,0.1,0.1,0.02,273
6,3,50000,0.1,0.1,0.02,90
6,3,50000,0.1,0.1,0.02,228
6,3,50000,0.1,0.1,0.02,93
6,3,50000,0.1,0.1,0.02,298
6,3,50000,0.1,0.1,0.02,140
6,3,50000,0.1,0.1,0.02,191
6,3,50000,0.1,0.1,0.02,132
6,3,50000,0.1,0.1,0.02,157
6,3,50000,0.1,0.1,0.02,140
6,3,50000,0.1,0.1,0.02,475
6,3,50000,0.1,0.1,0.02,169
6,3,50000,0.1,0.1,0.02,120
6,3,50000,0.1,0.1,0.02,140
6,3,50000,0.1,0.1,0.02,193
6,3,50000,0.1,0.1,0.02,229
6,3,50000,0.1,0.1,0.02,121
6,3,50000,0.1,0.1,0.02,111
6,3,50000,0.1,0.1,0.02,474
6,3,50000,0.1,0.1,0.02,132
6,3,50000,0.1,0.1,0.02,147
6,3,50000,0.1,0.1,0.02,176
6,3,50000,0.1,0.1,0.02,107
6,3,50000,0.1,0.1,0.02,275
6,3,50000,0.1,0.1,0.02,168
6,3,50000,0.1,0.1,0.02,61
6,3,50000,0.1,0.1,0.02,180
6,3,50000,0.1,0.1,0.02,252
6,3,50000,0.1,0.1,0.02,62
6,3,50000,0.1,0.1,0.02,87
6,3,50000,0.1,0.1,0.02,146
6,3,50000,0.1,0.1,0.02,146
6,3,50000,0.1,0.1,0.02,90
6,3,50000,0.1,0.1,0.02,150
6,3,50000,0.1,0.1,0.02,296
6,3,50000,0.1,0.1,0.02,386
6,3,50000,0.1,0.1,0.02,153
6,3,50000,0.1,0.1,0.02,169
6,3,50000,0.1,0.1,0.02,168
6,3,50000,0.1,0.1,0.02,182
6,3,50000,0.1,0.1,0.04,99
6,3,50000,0.1,0.1,0.04,285
6,3,50000,0.1,0.1,0.04,296
6,3,50000,0.1,0.1,0.04,156
6,3,50000,0.1,0.1,0.04,81
6,3,50000,0.1,0.1,0.04,139
6,3,50000,0.1,0.1,0.04,309
6,3,50000,0.1,0.1,0.04,111
6,3,50000,0.1,0.1,0.04,124
6,3,50000,0.1,0.1,0.04,327
6,3,50000,0.1,0.1,0.04,207
6,3,50000,0.1,0.1,0.04,159
6,3,50000,0.1,0.1,0.04,286
6,3,50000,0.1,0.1,0.04,231
6,3,50000,0.1,0.1,0.04,235
6,3,50000,0.1,0.1,0.04,310
6,3,50000,0.1,0.1,0.04,132
6,3,50000,0.1,0.1,0.04,300
6,3,50000,0.1,0.1,0.04,116
6,3,50000,0.1,0.1,0.04,129
6,3,50000,0.1,0.1,0.04,222
6,3,50000,0.1,0.1,0.04,93
6,3,50000,0.1,0.1,0.04,178
6,3,50000,0.1,0.1,0.04,202
6,3,50000,0.1,0.1,0.04,205
6,3,50000,0.1,0.1,0.04,427
6,3,50000,0.1,0.1,0.04,189
6,3,50000,0.1,0.1,0.04,281
6,3,50000,0.1,0.1,0.04,172
6,3,50000,0.1,0.1,0.04,258
6,3,50000,0.1,0.1,0.04,102
6,3,50000,0.1,0.1,0.04,102
6,3,50000,0.1,0.1,0.04,89
6,3,50000,0.1,0.1,0.04,243
6,3,50000,0.1,0.1,0.04,61
6,3,50000,0.1,0.1,0.04,236
6,3,50000,0.1,0.1,0.04,170
6,3,50000,0.1,0.1,0.04,101
6,3,50000,0.1,0.1,0.04,144
6,3,50000,0.1,0.1,0.04,92
6,3,50000,0.1,0.1,0.04,192
6,3,50000,0.1,0.1,0.04,381
6,3,50000,0.1,0.1,0.04,258
6,3,50000,0.1,0.1,0.04,326
6,3,50000,0.1,0.1,0.04,193
6,3,50000,0.1,0.1,0.04,135
6,3,50000,0.1,0.1,0.04,275
6,3,50000,0.1,0.1,0.04,526
6,3,50000,0.1,0.1,0.04,269
6,3,50000,0.1,0.1,0.04,75
6,3,50000,0.1,0.1,0.04,62
6,3,50000,0.1,0.1,0.04,216
6,3,50000,0.1,0.1,0.04,182
6,3,50000,0.1,0.1,0.04,51
6,3,50000,0.1,0.1,0.04,201
6,3,50000,0.1,0.1,0.04,237
6,3,50000,0.1,0.1,0.04,103
6,3,50000,0.1,0.1,0.04,338
6,3,50000,0.1,0.1,0.04,276
6,3,50000,0.1,0.1,0.04,70
6,3,50000,0.1,0.1,0.04,116
6,3,50000,0.1,0.1,0.04,194
6,3,50000,0.1,0.1,0.04,184
6,3,50000,0.1,0.1,0.04,332
6,3,50000,0.1,0.1,0.04,88
6,3,50000,0.1,0.1,0.04,38
6,3,50000,0.1,0.1,0.04,37
6,3,50000,0.1,0.1,0.04,31
6,3,50000,0.1,0.1,0.04,116
6,3,50000,0.1,0.1,0.04,205
6,3,50000,0.1,0.1,0.04,107
6,3,50000,0.1,0.1,0.04,228
6,3,50000,0.1,0.1,0.04,270
6,3,50000,0.1,0.1,0.04,367
6,3,50000,0.1,0.1,0.04,235
6,3,50000,0.1,0.1,0.04,118
6,3,50000,0.1,0.1,0.04,251
6,3,50000,0.1,0.1,0.04,185
6,3,50000,0.1,0.1,0.04,299
6,3,50000,0.1,0.1,0.04,243
6,3,50000,0.1,0.1,0.04,443
6,3,50000,0.1,0.1,0.04,135
6,3,50000,0.1,0.1,0.04,415
6,3,50000,0.1,0.1,0.04,218
6,3,50000,0.1,0.1,0.04,72
6,3,50000,0.1,0.1,0.04,87
6,3,50000,0.1,0.1,0.04,264
6,3,50000,0.1,0.1,0.04,156
6,3,50000,0.1,0.1,0.04,335
6,3,50000,0.1,0.1,0.04,233
6,3,50000,0.1,0.1,0.04,216
6,3,50000,0.1,0.1,0.04,54
6,3,50000,0.1,0.1,0.04,471
6,3,50000,0.1,0.1,0.04,63
6,3,50000,0.1,0.1,0.04,215
6,3,50000,0.1,0.1,0.04,246
6,3,50000,0.1,0.1,0.04,229
6,3,50000,0.1,0.1,0.04,231
6,3,50000,0.1,0.1,0.04,119
6,3,50000,0.1,0.1,0.04,275
6,3,50000,0.1,0.1,0.06,389
6,3,50000,0.1,0.1,0.06,58
6,3,50000,0.1,0.1,0.06,240
6,3,50000,0.1,0.1,0.06,174
6,3,50000,0.1,0.1,0.06,107
6,3,50000,0.1,0.1,0.06,224
