K,s,n,q0,q1,q2,cost
6,3,50000,0.5,0.5,0.02,83
6,3,50000,0.5,0.5,0.02,414
6,3,50000,0.5,0.5,0.02,259
6,3,50000,0.5,0.5,0.02,129
6,3,50000,0.5,0.5,0.02,498
6,3,50000,0.5,0.5,0.02,392
6,3,50000,0.5,0.5,0.02,282
6,3,50000,0.5,0.5,0.02,204
6,3,50000,0.5,0.5,0.02,290
6,3,50000,0.5,0.5,0.02,392
6,3,50000,0.5,0.5,0.02,114
6,3,50000,0.5,0.5,0.02,292
6,3,50000,0.5,0.5,0.02,44
6,3,50000,0.5,0.5,0.02,442
6,3,50000,0.5,0.5,0.02,314
6,3,50000,0.5,0.5,0.02,636
6,3,50000,0.5,0.5,0.02,254
6,3,50000,0.5,0.5,0.02,358
6,3,50000,0.5,0.5,0.02,185
6,3,50000,0.5,0.5,0.02,555
6,3,50000,0.5,0.5,0.02,124
6,3,50000,0.5,0.5,0.02,296
6,3,50000,0.5,0.5,0.02,286
6,3,50000,0.5,0.5,0.02,233
6,3,50000,0.5,0.5,0.02,269
6,3,50000,0.5,0.5,0.02,289
6,3,50000,0.5,0.5,0.02,775
6,3,50000,0.5,0.5,0.02,345
6,3,50000,0.5,0.5,0.02,289
6,3,50000,0.5,0.5,0.02,176
6,3,50000,0.5,0.5,0.02,418
6,3,50000,0.5,0.5,0.02,218
6,3,50000,0.5,0.5,0.02,228
6,3,50000,0.5,0.5,0.02,434
6,3,50000,0.5,0.5,0.02,164
6,3,50000,0.5,0.5,0.02,376
6,3,50000,0.5,0.5,0.02,313
6,3,50000,0.5,0.5,0.02,327
6,3,50000,0.5,0.5,0.02,340
6,3,50000,0.5,0.5,0.02,273
6,3,50000,0.5,0.5,0.02,256
6,3,50000,0.5,0.5,0.02,258
6,3,50000,0.5,0.5,0.02,214
6,3,50000,0.5,0.5,0.02,431
6,3,50000,0.5,0.5,0.02,248
6,3,50000,0.5,0.5,0.02,481
6,3,50000,0.5,0.5,0.02,234
6,3,50000,0.5,0.5,0.02,157
6,3,50000,0.5,0.5,0.02,206
6,3,50000,0.5,0.5,0.02,243
6,3,50000,0.5,0.5,0.02,182
6,3,50000,0.5,0.5,0.02,504
6,3,50000,0.5,0.5,0.02,253
6,3,50000,0.5,0.5,0.02,326
6,3,50000,0.5,0.5,0.02,321
6,3,50000,0.5,0.5,0.02,225
6,3,50000,0.5,0.5,0.02,361
6,3,50000,0.5,0.5,0.02,149
6,3,50000,0.5,0.5,0.02,548
6,3,50000,0.5,0.5,0.02,111
6,3,50000,0.5,0.5,0.02,373
6,3,50000,0.5,0.5,0.02,432
6,3,50000,0.5,0.5,0.02,331
6,3,50000,0.5,0.5,0.02,324
6,3,50000,0.5,0.5,0.02,129
6,3,50000,0.5,0.5,0.02,382
6,3,50000,0.5,0.5,0.02,564
6,3,50000,0.5,0.5,0.02,181
6,3,50000,0.5,0.5,0.02,436
6,3,50000,0.5,0.5,0.02,227
6,3,50000,0.5,0.5,0.02,379
6,3,50000,0.5,0.5,0.02,326
6,3,50000,0.5,0.5,0.02,242
6,3,50000,0.5,0.5,0.02,485
6,3,50000,0.5,0.5,0.02,531
6,3,50000,0.5,0.5,0.02,550
6,3,50000,0.5,0.5,0.02,257
6,3,50000,0.5,0.5,0.02,271
6,3,50000,0.5,0.5,0.02,389
6,3,50000,0.5,0.5,0.02,413
6,3,50000,0.5,0.5,0.02,105
6,3,50000,0.5,0.5,0.02,378
6,3,50000,0.5,0.5,0.02,122
6,3,50000,0.5,0.5,0.02,100
6,3,50000,0.5,0.5,0.02,483
6,3,50000,0.5,0.5,0.02,56
6,3,50000,0.5,0.5,0.02,275
6,3,50000,0.5,0.5,0.02,408
6,3,50000,0.5,0.5,0.02,474
6,3,50000,0.5,0.5,0.02,495
6,3,50000,0.5,0.5,0.02,499
6,3,50000,0.5,0.5,0.02,151
6,3,50000,0.5,0.5,0.02,685
6,3,50000,0.5,0.5,0.02,350
6,3,50000,0.5,0.5,0.02,202
6,3,50000,0.5,0.5,0.02,585
6,3,50000,0.5,0.5,0.02,564
6,3,50000,0.5,0.5,0.02,160
6,3,50000,0.5,0.5,0.02,217
6,3,50000,0.5,0.5,0.02,221
6,3,50000,0.5,0.5,0.04,172
6,3,50000,0.5,0.5,0.04,466
6,3,50000,0.5,0.5,0.04,105
6,3,50000,0.5,0.5,0.04,356
6,3,50000,0.5,0.5,0.04,253
6,3,50000,0.5,0.5,0.04,517
6,3,50000,0.5,0.5,0.04,465
6,3,50000,0.5,0.5,0.04,453
6,3,50000,0.5,0.5,0.04,251
6,3,50000,0.5,0.5,0.04,304
6,3,50000,0.5,0.5,0.04,593
6,3,50000,0.5,0.5,0.04,186
6,3,50000,0.5,0.5,0.04,372
6,3,50000,0.5,0.5,0.04,320
6,3,50000,0.5,0.5,0.04,187
6,3,50000,0.5,0.5,0.04,258
6,3,50000,0.5,0.5,0.04,459
6,3,50000,0.5,0.5,0.04,431
6,3,50000,0.5,0.5,0.04,190
6,3,50000,0.5,0.5,0.04,265
6,3,50000,0.5,0.5,0.04,99
6,3,50000,0.5,0.5,0.04,311
6,3,50000,0.5,0.5,0.04,196
6,3,50000,0.5,0.5,0.04,156
6,3,50000,0.5,0.5,0.04,519
6,3,50000,0.5,0.5,0.04,447
6,3,50000,0.5,0.5,0.04,479
6,3,50000,0.5,0.5,0.04,676
6,3,50000,0.5,0.5,0.04,309
6,3,50000,0.5,0.5,0.04,470
6,3,50000,0.5,0.5,0.04,447
6,3,50000,0.5,0.5,0.04,321
6,3,50000,0.5,0.5,0.04,199
6,3,50000,0.5,0.5,0.04,247
6,3,50000,0.5,0.5,0.04,535
6,3,50000,0.5,0.5,0.04,568
6,3,50000,0.5,0.5,0.04,302
6,3,50000,0.5,0.5,0.04,168
6,3,50000,0.5,0.5,0.04,400
6,3,50000,0.5,0.5,0.04,147
6,3,50000,0.5,0.5,0.04,336
6,3,50000,0.5,0.5,0.04,325
6,3,50000,0.5,0.5,0.04,286
6,3,50000,0.5,0.5,0.04,419
6,3,50000,0.5,0.5,0.04,301
6,3,50000,0.5,0.5,0.04,193
6,3,50000,0.5,0.5,0.04,303
6,3,50000,0.5,0.5,0.04,289
6,3,50000,0.5,0.5,0.04,156
6,3,50000,0.5,0.5,0.04,345
6,3,50000,0.5,0.5,0.04,405
6,3,50000,0.5,0.5,0.04,264
6,3,50000,0.5,0.5,0.04,102
6,3,50000,0.5,0.5,0.04,61
6,3,50000,0.5,0.5,0.04,236
6,3,50000,0.5,0.5,0.04,282
6,3,50000,0.5,0.5,0.04,198
6,3,50000,0.5,0.5,0.04,500
6,3,50000,0.5,0.5,0.04,270
6,3,50000,0.5,0.5,0.04,371
6,3,50000,0.5,0.5,0.04,350
6,3,50000,0.5,0.5,0.04,344
6,3,50000,0.5,0.5,0.04,347
6,3,50000,0.5,0.5,0.04,260
6,3,50000,0.5,0.5,0.04,129
6,3,50000,0.5,0.5,0.04,237
6,3,50000,0.5,0.5,0.04,457
6,3,50000,0.5,0.5,0.04,511
6,3,50000,0.5,0.5,0.04,306
6,3,50000,0.5,0.5,0.04,588
6,3,50000,0.5,0.5,0.04,289
