#Col 1: dimension K: 2
#Col 2: specified s: 1
#Col 3: min n: 10000
#Col 4: max n50000
#Col 5: pas n5000
#Col 7: n of trees100

K,s,n,q0,cost
2,1,10000,0.1,360
2,1,10000,0.1,331
2,1,10000,0.1,235
2,1,10000,0.1,235
2,1,10000,0.1,257
2,1,10000,0.1,452
2,1,10000,0.1,282
2,1,10000,0.1,129
2,1,10000,0.1,196
2,1,10000,0.1,90
2,1,10000,0.1,270
2,1,10000,0.1,230
2,1,10000,0.1,222
2,1,10000,0.1,266
2,1,10000,0.1,156
2,1,10000,0.1,198
2,1,10000,0.1,467
2,1,10000,0.1,345
2,1,10000,0.1,148
2,1,10000,0.1,165
2,1,10000,0.1,148
2,1,10000,0.1,275
2,1,10000,0.1,315
2,1,10000,0.1,97
2,1,10000,0.1,137
2,1,10000,0.1,226
2,1,10000,0.1,216
2,1,10000,0.1,134
2,1,10000,0.1,240
2,1,10000,0.1,310
2,1,10000,0.1,320
2,1,10000,0.1,236
2,1,10000,0.1,268
2,1,10000,0.1,359
2,1,10000,0.1,207
2,1,10000,0.1,316
2,1,10000,0.1,282
2,1,10000,0.1,205
2,1,10000,0.1,220
2,1,10000,0.1,101
2,1,10000,0.1,264
2,1,10000,0.1,177
2,1,10000,0.1,278
2,1,10000,0.1,235
2,1,10000,0.1,172
2,1,10000,0.1,278
2,1,10000,0.1,167
2,1,10000,0.1,160
2,1,10000,0.1,194
2,1,10000,0.1,198
2,1,10000,0.1,399
2,1,10000,0.1,180
2,1,10000,0.1,208
2,1,10000,0.1,353
2,1,10000,0.1,244
2,1,10000,0.1,187
2,1,10000,0.1,205
2,1,10000,0.1,168
2,1,10000,0.1,344
2,1,10000,0.1,285
2,1,10000,0.1,174
2,1,10000,0.1,48
2,1,10000,0.1,205
2,1,10000,0.1,171
2,1,10000,0.1,165
2,1,10000,0.1,302
2,1,10000,0.1,233
2,1,10000,0.1,199
2,1,10000,0.1,75
2,1,10000,0.1,186
2,1,10000,0.1,215
2,1,10000,0.1,87
2,1,10000,0.1,159
2,1,10000,0.1,423
2,1,10000,0.1,385
2,1,10000,0.1,365
2,1,10000,0.1,281
2,1,10000,0.1,318
2,1,10000,0.1,222
2,1,10000,0.1,245
2,1,10000,0.1,106
2,1,10000,0.1,287
2,1,10000,0.1,55
2,1,10000,0.1,251
2,1,10000,0.1,203
2,1,10000,0.1,137
2,1,10000,0.1,174
2,1,10000,0.1,183
2,1,10000,0.1,227
2,1,10000,0.1,351
2,1,10000,0.1,87
2,1,10000,0.1,448
2,1,10000,0.1,367
2,1,10000,0.1,267
2,1,10000,0.1,249
2,1,10000,0.1,115
2,1,10000,0.1,104
2,1,10000,0.1,284
2,1,10000,0.1,245
2,1,10000,0.1,225
2,1,10000,0.2,358
2,1,10000,0.2,240
2,1,10000,0.2,164
2,1,10000,0.2,375
2,1,10000,0.2,335
2,1,10000,0.2,174
2,1,10000,0.2,179
2,1,10000,0.2,132
2,1,10000,0.2,300
2,1,10000,0.2,213
2,1,10000,0.2,316
2,1,10000,0.2,363
2,1,10000,0.2,221
2,1,10000,0.2,308
2,1,10000,0.2,384
2,1,10000,0.2,221
2,1,10000,0.2,281
2,1,10000,0.2,338
2,1,10000,0.2,270
2,1,10000,0.2,111
2,1,10000,0.2,356
2,1,10000,0.2,418
2,1,10000,0.2,358
2,1,10000,0.2,436
2,1,10000,0.2,166
2,1,10000,0.2,294
2,1,10000,0.2,255
2,1,10000,0.2,323
2,1,10000,0.2,344
2,1,10000,0.2,175
2,1,10000,0.2,503
2,1,10000,0.2,257
2,1,10000,0.2,135
2,1,10000,0.2,282
2,1,10000,0.2,174
2,1,10000,0.2,190
2,1,10000,0.2,346
2,1,10000,0.2,192
2,1,10000,0.2,250
2,1,10000,0.2,248
2,1,10000,0.2,389
2,1,10000,0.2,205
2,1,10000,0.2,440
2,1,10000,0.2,307
2,1,10000,0.2,179
2,1,10000,0.2,177
2,1,10000,0.2,111
2,1,10000,0.2,312
2,1,10000,0.2,203
2,1,10000,0.2,295
2,1,10000,0.2,421
2,1,10000,0.2,232
2,1,10000,0.2,231
2,1,10000,0.2,303
2,1,10000,0.2,320
2,1,10000,0.2,185
2,1,10000,0.2,248
2,1,10000,0.2,265
2,1,10000,0.2,304
2,1,10000,0.2,268
2,1,10000,0.2,186
2,1,10000,0.2,190
2,1,10000,0.2,160
2,1,10000,0.2,256
2,1,10000,0.2,347
2,1,10000,0.2,262
2,1,10000,0.2,446
2,1,10000,0.2,277
2,1,10000,0.2,360
2,1,10000,0.2,219
2,1,10000,0.2,208
2,1,10000,0.2,223
2,1,10000,0.2,253
2,1,10000,0.2,509
2,1,10000,0.2,194
2,1,10000,0.2,173
2,1,10000,0.2,261
2,1,10000,0.2,239
2,1,10000,0.2,349
2,1,10000,0.2,174
2,1,10000,0.2,255
2,1,10000,0.2,239
2,1,10000,0.2,379
2,1,10000,0.2,356
2,1,10000,0.2,151
2,1,10000,0.2,94
2,1,10000,0.2,131
2,1,10000,0.2,345
2,1,10000,0.2,401
2,1,10000,0.2,422
2,1,10000,0.2,404
2,1,10000,0.2,124
2,1,10000,0.2,184
2,1,10000,0.2,312
2,1,10000,0.2,418
2,1,10000,0.2,392
2,1,10000,0.2,253
2,1,10000,0.2,107
2,1,10000,0.2,249
2,1,10000,0.2,302
2,1,10000,0.3,357
2,1,10000,0.3,127
2,1,10000,0.3,438
2,1,10000,0.3,243
2,1,10000,0.3,395
2,1,10000,0.3,124
2,1,10000,0.3,455
2,1,10000,0.3,348
2,1,10000,0.3,176
2,1,10000,0.3,351
2,1,10000,0.3,299
2,1,10000,0.3,535
2,1,10000,0.3,158
2,1,10000,0.3,146
2,1,10000,0.3,347
2,1,10000,0.3,280
2,1,10000,0.3,450
2,1,10000,0.3,306
2,1,10000,0.3,258
2,1,10000,0.3,259
2,1,10000,0.3,171
2,1,10000,0.3,253
2,1,10000,0.3,324
2,1,10000,0.3,158
2,1,10000,0.3,186
2,1,10000,0.3,216
2,1,10000,0.3,319
2,1,10000,0.3,518
2,1,10000,0.3,324
2,1,10000,0.3,168
2,1,10000,0.3,310
2,1,10000,0.3,285
2,1,10000,0.3,285
2,1,10000,0.3,255
2,1,10000,0.3,182
2,1,10000,0.3,163
2,1,10000,0.3,361
2,1,10000,0.3,177
2,1,10000,0.3,341
2,1,10000,0.3,394
2,1,10000,0.3,189
2,1,10000,0.3,189
2,1,10000,0.3,394
2,1,10000,0.3,560
2,1,10000,0.3,378
2,1,10000,0.3,265
2,1,10000,0.3,173
2,1,10000,0.3,260
2,1,10000,0.3,365
2,1,10000,0.3,281
2,1,10000,0.3,328
2,1,10000,0.3,192
2,1,10000,0.3,334
2,1,10000,0.3,493
2,1,10000,0.3,186
2,1,10000,0.3,259
2,1,10000,0.3,565
2,1,10000,0.3,316
2,1,10000,0.3,261
2,1,10000,0.3,269
2,1,10000,0.3,621
2,1,10000,0.3,489
2,1,10000,0.3,141
2,1,10000,0.3,278
2,1,10000,0.3,404
2,1,10000,0.3,255
2,1,10000,0.3,220
2,1,10000,0.3,222
2,1,10000,0.3,114
2,1,10000,0.3,350
2,1,10000,0.3,402
2,1,10000,0.3,140
2,1,10000,0.3,202
2,1,10000,0.3,268
2,1,10000,0.3,311
2,1,10000,0.3,340
2,1,10000,0.3,277
2,1,10000,0.3,490
2,1,10000,0.3,110
2,1,10000,0.3,318
2,1,10000,0.3,401
2,1,10000,0.3,222
2,1,10000,0.3,240
2,1,10000,0.3,292
2,1,10000,0.3,603
2,1,10000,0.3,239
2,1,10000,0.3,391
2,1,10000,0.3,420
2,1,10000,0.3,345
2,1,10000,0.3,232
2,1,10000,0.3,467
2,1,10000,0.3,262
2,1,10000,0.3,384
2,1,10000,0.3,266
2,1,10000,0.3,294
2,1,10000,0.3,335
2,1,10000,0.3,184
2,1,10000,0.3,270
2,1,10000,0.3,374
2,1,10000,0.3,559
