q0,q1,q2,mean_cost,std
0.5,0.5,0.02,317.7,145.93
0.5,0.5,0.04,330.66,136.18
0.5,0.5,0.06,393.92,177.13
0.5,0.5,0.08,378.39,159.88
0.5,0.5,0.1,416.39,179.14
0.5,0.5,0.12,420.87,193.96
0.5,0.5,0.14,441.47,203.05
0.5,0.5,0.16,477.48,217.36
0.5,0.5,0.18,496.74,225.44
0.5,0.5,0.2,503.94,235.34
0.5,0.5,0.22,536.2,250.81
0.5,0.5,0.24,539.85,247.26
0.5,0.5,0.26,527.6,233.51
0.5,0.5,0.28,480.05,210.68
0.5,0.5,0.3,542.67,203.7
0.5,0.5,0.32,549.5,226.34
0.5,0.5,0.34,576.98,289.25
0.5,0.5,0.36,579.83,270.65
0.5,0.5,0.38,527.28,238.11
0.5,0.5,0.4,548.39,226.25
0.5,0.5,0.42,561.5,224.97
0.5,0.5,0.44,530.2,242.1
0.5,0.5,0.46,552.24,253.56
0.5,0.5,0.48,569.37,235.21
0.5,0.5,0.5,572.35,260.88
0.5,0.5,0.52,596.42,278.17
0.5,0.5,0.54,556.31,206.65
0.5,0.5,0.56,576.65,235.76
0.5,0.5,0.58,588.47,254.38
0.5,0.5,0.6,584.83,260.57
0.5,0.5,0.62,546.95,248.71
0.5,0.5,0.64,576.67,223.0
0.5,0.5,0.66,554.26,261.71
0.5,0.5,0.68,547.15,211.0
0.5,0.5,0.7,521.64,254.63
0.5,0.5,0.72,493.01,197.72
0.5,0.5,0.74,532.37,198.75
0.5,0.5,0.76,504.7,213.25
0.5,0.5,0.78,556.07,227.97
0.5,0.5,0.8,518.95,221.04
0.5,0.5,0.82,504.34,214.37
0.5,0.5,0.84,500.77,223.43
0.5,0.5,0.86,486.13,226.54
0.5,0.5,0.88,471.68,202.35
0.5,0.5,0.9,453.21,184.19
0.5,0.5,0.92,408.33,178.97
0.5,0.5,0.94,396.13,185.69
0.5,0.5,0.96,351.64,149.75
0.5,0.5,0.98,305.44,151.44
