q0,mean_cost,std
0.01,333.31,124.46
0.02,394.39,145.05
0.03,429.11,162.96
0.04,468.42,175.38
0.05,514.84,188.0
0.06,523.92,191.62
0.07,547.44,193.04
0.08,581.76,212.7
0.09,575.5,219.05
0.1,589.79,222.9
0.11,630.28,226.71
0.12,626.77,224.46
0.13,639.8,231.22
0.14,650.95,246.99
0.15,659.21,243.3
0.16,663.15,253.11
0.17,701.3,260.77
0.18,690.08,246.1
0.19,701.45,258.91
0.2,693.37,253.24
0.21,686.39,266.93
0.22,724.25,269.93
0.23,695.97,265.72
0.24,748.31,265.75
0.25,738.94,266.9
0.26,735.42,268.46
0.27,757.41,247.21
0.28,740.04,282.15
0.29,734.52,277.43
0.3,752.86,270.93
0.31,788.63,295.89
0.32,775.27,286.59
0.33,783.25,267.11
0.34,768.9,282.66
0.35,754.45,281.74
0.36,780.2,275.05
0.37,769.88,288.48
0.38,794.18,286.58
0.39,780.08,284.29
0.4,767.15,291.62
0.41,796.95,286.96
0.42,803.95,303.06
0.43,805.17,304.23
0.44,786.55,303.1
0.45,816.14,294.48
0.46,808.94,298.43
0.47,821.94,277.73
0.48,806.59,307.79
0.49,819.07,302.86
0.5,804.62,305.09
0.51,803.17,282.02
0.52,809.05,291.41
0.53,812.55,292.25
0.54,799.59,293.73
0.55,796.72,302.49
0.56,805.69,300.18
0.57,805.59,282.46
0.58,798.89,298.23
0.59,804.76,283.94
0.6,770.11,289.19
0.61,787.45,291.82
0.62,777.63,302.8
0.63,766.24,288.25
0.64,791.54,287.21
0.65,783.55,283.1
0.66,773.11,285.59
0.67,779.05,281.91
0.68,760.5,267.81
0.69,760.71,298.61
0.7,751.74,281.4
0.71,741.21,270.03
0.72,744.05,288.88
0.73,764.79,272.63
0.74,741.3,272.36
0.75,736.52,269.96
0.76,711.86,277.15
0.77,725.91,271.92
0.78,721.04,261.21
0.79,726.57,263.73
0.8,705.22,262.53
0.81,697.61,249.08
0.82,708.49,246.54
0.83,678.7,252.34
0.84,662.33,249.58
0.85,677.19,241.17
0.86,654.94,240.3
0.87,640.83,220.75
0.88,630.41,233.08
0.89,619.08,231.09
0.9,598.55,227.86
0.91,592.5,207.63
0.92,571.06,207.22
0.93,541.47,212.38
0.94,523.3,187.76
0.95,509.71,192.01
0.96,479.86,185.47
0.97,445.92,157.39
0.98,399.62,146.66
0.99,325.24,117.48
