n,q0,q1,q2,mean_cost,std
10000.0,0.1,0.1,0.1,98.97,44.68
10000.0,0.1,0.1,0.2,133.45,54.59
10000.0,0.1,0.1,0.3,121.53,46.68
10000.0,0.1,0.1,0.4,132.28,53.15
10000.0,0.1,0.1,0.5,134.26,60.35
10000.0,0.1,0.2,0.1,112.9,54.16
10000.0,0.1,0.2,0.2,136.31,60.5
10000.0,0.1,0.2,0.3,157.84,70.97
10000.0,0.1,0.2,0.4,153.34,73.33
10000.0,0.1,0.2,0.5,148.85,64.74
10000.0,0.1,0.3,0.1,126.34,60.46
10000.0,0.1,0.3,0.2,143.42,64.51
10000.0,0.1,0.3,0.3,161.02,76.39
10000.0,0.1,0.3,0.4,168.89,70.1
10000.0,0.1,0.3,0.5,160.29,70.64
10000.0,0.1,0.4,0.1,131.04,59.54
10000.0,0.1,0.4,0.2,153.06,61.96
10000.0,0.1,0.4,0.3,159.9,70.41
10000.0,0.1,0.4,0.4,163.99,74.7
10000.0,0.1,0.4,0.5,179.95,82.49
10000.0,0.1,0.5,0.1,134.61,59.09
10000.0,0.1,0.5,0.2,152.02,73.06
10000.0,0.1,0.5,0.3,167.79,68.45
10000.0,0.1,0.5,0.4,165.9,73.19
10000.0,0.1,0.5,0.5,164.02,71.47
10000.0,0.2,0.1,0.1,111.77,50.93
10000.0,0.2,0.1,0.2,132.06,55.01
10000.0,0.2,0.1,0.3,144.43,65.45
10000.0,0.2,0.1,0.4,151.11,68.49
10000.0,0.2,0.1,0.5,160.55,70.86
10000.0,0.2,0.2,0.1,136.42,55.27
10000.0,0.2,0.2,0.2,142.28,62.08
10000.0,0.2,0.2,0.3,180.37,76.76
10000.0,0.2,0.2,0.4,171.22,77.0
10000.0,0.2,0.2,0.5,178.57,77.49
10000.0,0.2,0.3,0.1,137.33,59.51
10000.0,0.2,0.3,0.2,166.94,65.9
10000.0,0.2,0.3,0.3,178.74,73.87
10000.0,0.2,0.3,0.4,196.78,94.18
10000.0,0.2,0.3,0.5,208.33,78.84
10000.0,0.2,0.4,0.1,165.18,73.25
10000.0,0.2,0.4,0.2,178.76,72.64
10000.0,0.2,0.4,0.3,193.84,78.12
10000.0,0.2,0.4,0.4,202.7,79.68
10000.0,0.2,0.4,0.5,200.63,84.35
10000.0,0.2,0.5,0.1,155.86,77.75
10000.0,0.2,0.5,0.2,178.03,79.57
10000.0,0.2,0.5,0.3,191.21,83.36
10000.0,0.2,0.5,0.4,210.26,99.2
10000.0,0.2,0.5,0.5,187.6,80.55
10000.0,0.3,0.1,0.1,120.48,56.01
10000.0,0.3,0.1,0.2,135.96,66.62
10000.0,0.3,0.1,0.3,163.49,74.85
10000.0,0.3,0.1,0.4,175.34,79.71
10000.0,0.3,0.1,0.5,165.95,65.9
10000.0,0.3,0.2,0.1,155.99,68.53
10000.0,0.3,0.2,0.2,171.27,77.24
10000.0,0.3,0.2,0.3,190.9,87.71
10000.0,0.3,0.2,0.4,201.44,86.77
10000.0,0.3,0.2,0.5,181.22,68.52
10000.0,0.3,0.3,0.1,160.65,55.06
10000.0,0.3,0.3,0.2,180.42,76.11
10000.0,0.3,0.3,0.3,217.01,86.91
10000.0,0.3,0.3,0.4,213.29,82.25
10000.0,0.3,0.3,0.5,202.64,77.31
10000.0,0.3,0.4,0.1,167.39,78.16
10000.0,0.3,0.4,0.2,194.67,82.27
10000.0,0.3,0.4,0.3,209.58,94.81
10000.0,0.3,0.4,0.4,216.53,78.14
10000.0,0.3,0.4,0.5,208.21,98.99
10000.0,0.3,0.5,0.1,162.05,60.36
10000.0,0.3,0.5,0.2,200.37,80.05
10000.0,0.3,0.5,0.3,200.15,80.67
10000.0,0.3,0.5,0.4,229.47,90.39
10000.0,0.3,0.5,0.5,229.49,91.82
10000.0,0.4,0.1,0.1,129.42,56.63
10000.0,0.4,0.1,0.2,165.69,74.77
10000.0,0.4,0.1,0.3,166.16,72.46
10000.0,0.4,0.1,0.4,161.38,76.09
10000.0,0.4,0.1,0.5,180.04,79.15
10000.0,0.4,0.2,0.1,148.9,72.0
10000.0,0.4,0.2,0.2,181.46,75.65
10000.0,0.4,0.2,0.3,198.06,83.18
10000.0,0.4,0.2,0.4,202.84,78.93
10000.0,0.4,0.2,0.5,200.15,80.59
10000.0,0.4,0.3,0.1,163.96,64.32
10000.0,0.4,0.3,0.2,193.54,83.25
