n,q0,mean_cost,std
10000.0,0.1,231.65,89.3
10000.0,0.2,271.84,93.77
10000.0,0.3,304.31,115.92
10000.0,0.4,349.52,106.91
10000.0,0.5,311.95,121.16
15000.0,0.1,307.84,113.15
15000.0,0.2,361.09,140.81
15000.0,0.3,403.34,137.97
15000.0,0.4,386.8,145.08
15000.0,0.5,386.17,142.23
20000.0,0.1,356.48,132.03
20000.0,0.2,405.41,156.6
20000.0,0.3,440.71,168.14
20000.0,0.4,456.16,174.72
20000.0,0.5,533.47,182.18
25000.0,0.1,386.65,140.03
25000.0,0.2,454.54,174.73
25000.0,0.3,541.69,217.06
25000.0,0.4,526.26,217.71
25000.0,0.5,554.88,210.85
30000.0,0.1,456.08,151.91
30000.0,0.2,513.41,186.11
30000.0,0.3,575.21,220.48
30000.0,0.4,570.39,206.85
30000.0,0.5,556.07,211.34
35000.0,0.1,477.94,166.4
35000.0,0.2,575.52,207.01
35000.0,0.3,600.01,228.65
35000.0,0.4,682.76,238.02
35000.0,0.5,675.91,239.83
40000.0,0.1,518.45,183.13
40000.0,0.2,616.97,211.58
40000.0,0.3,683.08,260.58
40000.0,0.4,726.17,264.27
40000.0,0.5,667.94,240.08
45000.0,0.1,585.33,216.78
45000.0,0.2,666.14,261.24
45000.0,0.3,690.16,242.06
45000.0,0.4,784.11,285.97
45000.0,0.5,735.22,277.5
50000.0,0.1,616.77,226.06
50000.0,0.2,703.78,285.86
50000.0,0.3,728.05,260.05
50000.0,0.4,798.78,309.98
50000.0,0.5,775.19,245.26
